classif_bairro;area_terreno;area_construida;quartos;banheiros;classif_casa;casa_predio;energ_solar;mov_planejados;preco
2;250;190;3;3;3;0;0;1;850.000
5;450;415;4;3;5;0;0;0;800.000
3;250;212;3;4;4;0;0;0;780.000
3;200;168;3;3;3;0;1;1;750.000
2;225;131;3;2;3;0;0;0;450.000
3;166;130;2;3;3;0;0;0;420.000
2;110;73;2;1;2;0;0;0;280.000
3;256;195;3;2;4;0;0;0;600.000
3;250;170;3;3;4;0;0;1;795.000
1;420;178;3;3;2;0;0;0;400.000
2;250;140;3;2;3;0;0;0;380.000
5;340;243;3;3;5;0;0;0;850.000
5;550;450;3;5;5;0;0;1;2.600.000
2;384;85;2;1;2;0;0;0;215.000
2;225;162;4;3;3;0;0;0;390.000
3;250;151;3;2;4;0;0;0;480.000
2;323;192;2;3;3;0;0;1;700.000
4;250;165;3;3;4;0;0;1;650.000
1;269;135;2;2;1;0;0;0;160.000
2;130;85;2;1;2;0;0;0;260.000
3;445;246;3;4;3;0;0;0;750.000
3;504;309;2;3;4;0;0;1;1.200.000
1;428;246;2;2;1;0;0;0;385.000
2;420;127;3;1;2;0;0;0;380.000
5;230;133;2;2;5;0;0;0;480.000
3;251;0;3;3;4;1;0;1;700.000
2;311;200;3;2;3;0;0;0;450.000
4;384;191;3;2;4;0;1;0;730.000
1;216;214;3;3;1;0;0;0;360.000
2;384;191;3;2;2;0;0;0;730.000
2;239;187;2;2;2;0;0;0;500.000
2;422;195;3;2;2;0;0;0;370.000
2;384;301;4;4;5;0;0;0;1.400.000
0;121;192;3;1;2;0;0;0;350.000
0;348;299;2;2;2;0;0;0;730.000
1;400;210;2;3;5;0;0;0;800.000
3;381;241;4;3;4;0;0;0;400.000
1;180;102;2;1;1;0;0;0;230.000
3;360;200;2;3;4;0;0;0;690.000
4;166;119;2;1;3;0;0;0;440.000
4;450;280;4;5;5;0;0;1;2.600.000
4;420;144;2;1;2;1;0;0;450.000
4;384;241;3;3;5;0;0;1;558.000
4;384;304;4;2;2;0;0;0;600.000
3;300;249;3;5;2;0;0;1;900.000
3;576;300;3;2;2;1;0;0;600.000
3;359;300;3;3;2;0;0;0;490.000
3;420;340;4;5;4;0;0;0;1.100.000
3;504;309;3;4;3;0;0;1;1.200.000
3;384;143;3;1;2;0;0;0;280.000
3;216;122;3;2;2;0;0;0;400.000
3;287;148;3;2;2;0;0;0;260.000
2;320;260;2;3;4;0;0;0;750.000
3;162;162;3;2;2;0;0;0;330.000
3;445;246;3;4;3;0;0;1;750.000
5;455;241;2;3;4;0;0;1;1.300.000
3;256;194;2;3;3;0;0;0;380.000
3;275;200;2;3;3;0;0;1;580.000
2;420;276;5;1;2;0;0;0;270.000
